# k	Real	Imaginary	Magnitude	Phase
0	513.00924911	0.00000000	513.00924911	0.00000000
1	0.94030195	-2.19506726	2.38798828	-1.16607434
2	-5.04176261	2.47431234	5.61619015	2.68536163
3	7.93039351	-2.38511967	8.28130044	-0.29215095
4	8.58763123	-6.97786054	11.06516823	-0.68234532
5	-1.96417716	1.92736323	2.75185772	2.36565420
6	-1.27331174	-1.02943380	1.63739328	-2.46170863
7	8.94855478	5.97333893	10.75906179	0.58859311
8	-1.32864182	-0.40614588	1.38933205	-2.84492845
9	0.59511422	-3.41655090	3.46799380	-1.39834090
10	-7.54906322	-5.38465138	9.27269249	-2.52200455
11	4.46313833	5.71343996	7.25003448	0.90764623
12	5.39003435	1.92027657	5.72188189	0.34224451
13	-9.29522037	4.72906573	10.42905481	2.67095911
14	1.72426103	-1.70024816	2.42155320	-0.77838622
15	-5.83730811	0.57952055	5.86600461	3.04263818
16	1.09029670	-13.91419581	13.95684749	-1.49259753
17	1.76537434	0.26678358	1.78541873	0.14998524
18	-7.94696060	-5.47211098	9.64873988	-2.53857292
19	1.97587324	0.01438294	1.97592559	0.00727915
20	5.30220702	-0.67772749	5.34534506	-0.12713053
21	17.46455751	5.20364272	18.22330010	0.28957909
22	1.73683937	-6.82440323	7.04195217	-1.32158292
23	6.72878723	-5.01567708	8.39247247	-0.64055434
24	6.90307733	-2.82088731	7.45720335	-0.38793410
25	-4.53476249	5.08129943	6.81055613	2.29941973
26	13.86713855	-3.10520237	14.21055289	-0.22029124
27	-0.14051463	-1.43179277	1.43867123	-1.66862201
28	-12.75155929	-0.70661689	12.77112257	-3.08623511
29	-11.15911457	8.04874624	13.75892997	2.51673301
30	2.83869712	-9.33059984	9.75286085	-1.27545855
31	9.54512852	-8.05718386	12.49110445	-0.70106744
32	-9.14136907	5.70607836	10.77608272	2.58356601
33	-3.61271767	-8.50971639	9.24483651	-1.97227755
34	8.24608088	1.38774079	8.36203770	0.16672864
35	-3.09375564	-10.42664821	10.87595131	-1.85923776
36	-4.42846287	2.07381383	4.88998847	2.70363164
37	2.22289874	-0.22986573	2.23475212	-0.10304186
38	6.87479432	9.01633741	11.33830398	0.91935453
39	-10.70723300	4.87735889	11.76577529	2.71415778
40	12.48354998	-1.34879141	12.55620398	-0.10762799
41	0.20327525	-0.83453484	0.85893494	-1.33186993
42	-6.74837024	1.70935420	6.96149356	2.89351164
43	-3.58349172	-6.15654091	7.12351099	-2.09792208
44	-11.00048056	3.16656295	11.44716967	2.86131332
45	-6.35108696	6.63877545	9.18747217	2.33405096
46	5.52128918	-6.11049806	8.23546117	-0.83600996
47	1.47729483	11.05917905	11.15741194	1.43800158
48	-4.87554027	-14.43313550	15.23437867	-1.89656317
49	-1.38900085	-13.51727934	13.58845702	-1.67319435
50	-1.39439286	-3.14623982	3.44138874	-1.98797552
51	0.10062134	-9.62704796	9.62757379	-1.56034477
52	9.37358665	10.59828590	14.14877347	0.84664268
53	-3.28994013	-7.88162420	8.54070876	-1.96622836
54	0.81477737	7.75527208	7.79795533	1.46611924
55	-3.38426707	-5.34853582	6.32930478	-2.13494674
56	5.97823345	-14.96384622	16.11384401	-1.19071086
57	-2.55884199	0.95577822	2.73151685	2.78412030
58	-8.03856558	1.15806935	8.12155534	2.99851290
59	-10.80988221	-6.43498679	12.58024675	-2.60464550
60	-4.06111912	-9.21646784	10.07154248	-1.98583697
61	-8.75240763	9.08809440	12.61737291	2.33738072
62	0.42062719	11.68514060	11.69270876	1.53481510
63	-3.98948966	-2.93512743	4.95287803	-2.50729680
64	2.69276864	2.15277285	3.44752577	0.67441431
65	6.01858287	-2.92199863	6.69039728	-0.45197733
66	-6.23025462	3.18856897	6.99878881	2.66855925
67	-3.11257286	-0.89074327	3.23751964	-2.86286629
68	6.93161681	-2.84391894	7.49234186	-0.38933879
69	-0.80635354	2.36899921	2.50247144	1.89887299
70	-8.27492482	2.46009772	8.63287099	2.85261892
71	-0.64356101	0.03088357	0.64430161	3.09364088
72	-7.19981499	-4.81094770	8.65924672	-2.55252626
73	-13.28946559	0.40095297	13.29551274	3.11143107
74	13.29567727	-9.11712140	16.12131932	-0.60107813
75	-5.86637051	3.98955773	7.09442554	2.54436637
76	1.33160724	-7.86253927	7.97450322	-1.40302732
77	-10.61134524	-8.42855334	13.55142647	-2.47033920
78	7.80349018	-5.04085123	9.29002907	-0.57353973
79	7.55233093	-10.44273054	12.88752589	-0.94465967
80	-7.70109755	8.69222205	11.61299391	2.29580895
81	2.42593408	4.92761278	5.49240602	1.11331619
82	-12.37062829	6.38202503	13.91986666	2.66530496
83	-7.12321512	-11.83567215	13.81388174	-2.11256979
84	-7.58942166	-3.85086344	8.51049178	-2.67204354
85	-6.52305190	2.47844925	6.97803101	2.77848723
86	-6.59121299	8.10680714	10.44817739	2.25344211
87	1.78528312	-3.66489083	4.07659915	-1.11749656
88	-9.38640348	2.92221948	9.83076482	2.83977886
89	-4.18765160	-0.93286279	4.29029823	-2.92240640
90	6.75214356	-2.74348783	7.28822119	-0.38593727
91	4.83372077	-5.37702559	7.23030156	-0.83855715
92	-2.49142838	3.87167011	4.60402485	2.14259013
93	0.24723686	-1.53808198	1.55782612	-1.41141609
94	5.57041430	-6.80455846	8.79383485	-0.88479853
95	-1.66989957	-6.10253076	6.32688282	-1.83789818
96	5.07877378	7.98925338	9.46689562	1.00453912
97	-4.21582974	-7.26681757	8.40118194	-2.09649086
98	-0.89860968	9.68631002	9.72790322	1.66330265
99	0.81784941	-6.99243950	7.04010566	-1.45436338
100	-9.33840155	6.76892424	11.53360650	2.51438392
101	-8.80843106	1.47409895	8.93092523	2.97577830
102	2.94486429	-9.77497885	10.20893908	-1.27817889
103	6.51891708	7.58835344	10.00396861	0.86106091
104	-2.28217252	-0.92029107	2.46074116	-2.75828581
105	-6.71677508	19.00302703	20.15515080	1.91054859
106	10.83911028	-2.35651316	11.09231562	-0.21407697
107	-3.88710288	8.21482133	9.08806131	2.01276002
108	9.28597388	2.33167618	9.57423755	0.24601046
109	7.19894528	6.33736168	9.59098359	0.72183408
110	-3.67806820	-10.58334468	11.20425679	-1.90527225
111	-23.01062037	0.64986978	23.01979540	3.11335799
112	-4.41964100	3.35895070	5.55119594	2.49171883
113	5.28874795	-1.53865411	5.50802245	-0.28311483
114	-5.92590128	-8.85953840	10.65869254	-2.16032447
115	-1.07693107	-2.56568436	2.78253782	-1.96820683
116	-4.61284232	-4.36326909	6.34952214	-2.38399149
117	-4.92199352	1.62693668	5.18391196	2.82235437
118	-6.69676477	-3.76765902	7.68387356	-2.62912052
119	-8.00616489	-2.72141319	8.45604908	-2.81393060
120	-11.18904693	-9.58307039	14.73193841	-2.43335504
121	-17.65680795	-1.11085345	17.69171734	-3.07876186
122	-8.86076191	2.00650202	9.08510605	2.91890039
123	3.12779250	7.50319024	8.12901899	1.17583905
124	-9.96453397	-11.47112483	15.19469125	-2.28602555
125	4.41477385	5.20213212	6.82293241	0.86708827
126	-4.25053911	-13.96997942	14.60230830	-1.86615895
127	10.40722935	4.68685195	11.41389522	0.42314145
128	-11.15854893	-4.18559127	11.91773420	-2.78273278
129	-3.79957507	-2.63231648	4.62232201	-2.53572045
130	9.31893993	-3.08415950	9.81604204	-0.31960947
131	-8.66639842	-2.26860099	8.95840454	-2.88556762
132	-5.46706121	-1.97388788	5.81248584	-2.79510697
133	-1.87713141	-7.00412216	7.25129986	-1.83264667
134	12.74125644	1.92896860	12.88644775	0.15025444
135	5.91725823	20.09963440	20.95254753	1.28448843
136	-2.69068941	-1.77810009	3.22512782	-2.55763866
137	0.64025697	2.36418338	2.44934523	1.30632477
138	1.36200465	5.75981292	5.91865708	1.33859477
139	-1.70074552	9.95224407	10.09651907	1.74005200
140	-0.49537982	2.00651157	2.06675830	1.81284212
141	-0.95321805	3.07742261	3.22166953	1.87116987
142	-1.32667007	6.03110720	6.17529818	1.78731919
143	-11.99529546	-4.81040723	12.92389767	-2.76020341
144	4.05324471	5.66618911	6.96667006	0.94984990
145	0.04939196	9.63990553	9.64003206	1.56567267
146	1.37257128	2.58470098	2.92653909	1.08262868
147	-0.89169409	-6.28147073	6.34444583	-1.71181040
148	10.41304084	-5.47412251	11.76424400	-0.48399461
149	-3.72277968	-0.83333108	3.81490881	-2.92137643
150	-5.19099905	7.27715348	8.93887207	2.19041152
151	-15.71541570	4.66165045	16.39223217	2.85323124
152	5.56735856	-3.08970237	6.36723976	-0.50664893
153	-4.74326013	-7.10408649	8.54204668	-2.15950050
154	-0.82424327	3.86484079	3.95175547	1.78091553
155	7.40640140	-2.57244851	7.84042557	-0.33429219
156	6.39674044	-6.83956681	9.36471902	-0.81884112
157	-5.01649131	-0.70014179	5.06511437	-3.00292041
158	5.90406460	-2.76634018	6.52001663	-0.43817129
159	-4.00020364	8.49537101	9.39004567	2.01086844
160	6.24293526	6.92349148	9.32249832	0.83704096
161	1.32041301	-1.86184617	2.28253405	-0.95392548
162	2.46935377	18.57958063	18.74295933	1.43866384
163	1.49537477	-1.12331456	1.87028910	-0.64426398
164	-5.89645272	-2.34448447	6.34545208	-2.76314892
165	8.39737408	-9.14642226	12.41663930	-0.82806815
166	7.32196891	6.49289655	9.78616034	0.72545699
167	-5.88502418	7.19988724	9.29902607	2.25604372
168	-0.02274037	-8.93785398	8.93788291	-1.57334060
169	3.81105181	0.77678465	3.88941002	0.20106997
170	3.00077719	-6.31068258	6.98780211	-1.12693396
171	-0.65315398	-3.57702951	3.63617247	-1.75140338
172	-3.56052906	8.26023767	8.99493711	1.97777546
173	-2.81953165	-4.29139367	5.13476566	-2.15209073
174	-3.89239331	5.86878486	7.04225541	2.15642055
175	-3.58132344	-6.29445725	7.24196587	-2.08808302
176	10.16063502	-2.49812980	10.46322878	-0.24108176
