# k	Real	Imaginary	Magnitude	Phase
0.000000000000000000e+00 1.603153903475739028e+01 0.000000000000000000e+00 1.603153903475739028e+01 0.000000000000000000e+00
1.000000000000000000e+00 2.938443602064028104e-02 -6.859585175471571983e-02 7.462463372242464366e-02 -1.166074343426516169e+00
2.000000000000000000e+00 -1.575550815643775859e-01 7.732226055785244856e-02 1.755059420775663959e-01 2.685361626163331294e+00
3.000000000000000000e+00 2.478247970522960975e-01 -7.453498962462110078e-02 2.587906387649177020e-01 -2.921509495004210866e-01
4.000000000000000000e+00 2.683634759548466642e-01 -2.180581418568446894e-01 3.457865070482470382e-01 -6.823453239342460730e-01
5.000000000000000000e+00 -6.138053629635759068e-02 6.023010086033840638e-02 8.599555387155202735e-02 2.365654198214003578e+00
6.000000000000000000e+00 -3.979099195783941667e-02 -3.216980638639541090e-02 5.116853998236619433e-02 -2.461708630092529493e+00
7.000000000000000000e+00 2.796423367517790193e-01 1.866668415302621953e-01 3.362206808494673793e-01 5.885931126748283893e-01
8.000000000000000000e+00 -4.152005673216585535e-02 -1.269205882766429733e-02 4.341662663458737553e-02 -2.844928451548057069e+00
9.000000000000000000e+00 1.859731923832100980e-02 -1.067672157730303051e-01 1.083748063286704838e-01 -1.398340899604464838e+00
1.000000000000000000e+01 -2.359082256165033753e-01 -1.682703556462423755e-01 2.897716402666761226e-01 -2.522004551700324448e+00
1.100000000000000000e+01 1.394730728891446225e-01 1.785449987425425378e-01 2.265635774724506779e-01 9.076462277843899695e-01
1.200000000000000000e+01 1.684385733090969783e-01 6.000864278342815661e-02 1.788088090310796796e-01 3.422445106483076316e-01
1.300000000000000000e+01 -2.904756364832628002e-01 1.477833039198701293e-01 3.259079629401978040e-01 2.670959114870417928e+00
1.400000000000000000e+01 5.388315726335544953e-02 -5.313275497707216355e-02 7.567353756843327173e-02 -7.783862156217653538e-01
1.500000000000000000e+01 -1.824158785242538938e-01 1.811001726838507020e-02 1.833126440353653186e-01 3.042638177887012407e+00
1.600000000000000000e+01 3.407177194678619181e-02 -4.348186189418029035e-01 4.361514840305493745e-01 -1.492597528682487074e+00
1.700000000000000000e+01 5.516794817680742424e-02 8.336987017603714190e-03 5.579433536274629873e-02 1.499852402972046139e-01
1.800000000000000000e+01 -2.483425186572603138e-01 -1.710034682564519071e-01 3.015231213833642898e-01 -2.538572918250862287e+00
1.900000000000000000e+01 6.174603871402841587e-02 4.494668834139903257e-04 6.174767459065629710e-02 7.279154327135745062e-03
2.000000000000000000e+01 1.656939692875314674e-01 -2.117898419517036390e-02 1.670420331227942534e-01 -1.271305268551634615e-01
2.100000000000000000e+01 5.457674221377123436e-01 1.626138351074043475e-01 5.694781281446917864e-01 2.895790932435534648e-01
2.200000000000000000e+01 5.427623045893499587e-02 -2.132626008139701379e-01 2.200610054025251283e-01 -1.321582917424775294e+00
2.300000000000000000e+01 2.102746009451986753e-01 -1.567399087569165128e-01 2.622647646935993837e-01 -6.405543359739560572e-01
2.400000000000000000e+01 2.157211664690627251e-01 -8.815272830984888230e-02 2.330376046290450198e-01 -3.879341030959693737e-01
2.500000000000000000e+01 -1.417113278556864087e-01 1.587906072068781538e-01 2.128298789638121136e-01 2.299419732852038933e+00
2.600000000000000000e+01 4.333480798383815280e-01 -9.703757400822042578e-02 4.440797778203970370e-01 -2.202912378500250790e-01
2.700000000000000000e+01 -4.391082173810373357e-03 -4.474352410257145807e-02 4.495847586133840806e-02 -1.668622011360231472e+00
2.800000000000000000e+01 -3.984862277671375463e-01 -2.208177790413563130e-02 3.990975803428161717e-01 -3.086235114140259750e+00
2.900000000000000000e+01 -3.487223301945230336e-01 2.515233200909163802e-01 4.299665616368970045e-01 2.516733008972286800e+00
3.000000000000000000e+01 8.870928510652857646e-02 -2.915812451086570722e-01 3.047769016235091222e-01 -1.275458550102026356e+00
3.100000000000000000e+01 2.982852663711518804e-01 -2.517869957053553431e-01 3.903470140022050616e-01 -7.010674403813876854e-01
3.200000000000000000e+01 -2.856677834465853327e-01 1.783149487378561104e-01 3.367525849086676626e-01 2.583566008896658328e+00
3.300000000000000000e+01 -1.128974273144708051e-01 -2.659286373424911698e-01 2.889011409687756715e-01 -1.972277552003525614e+00
3.400000000000000000e+01 2.576900275497137627e-01 4.336689980646518672e-02 2.613136779760987793e-01 1.667286447230465762e-01
3.500000000000000000e+01 -9.667986379887302806e-02 -3.258327566208174542e-01 3.398734784464499947e-01 -1.859237762666940963e+00
3.600000000000000000e+01 -1.383894646812021956e-01 6.480668223953842122e-02 1.528121395624255086e-01 2.703631635766736707e+00
3.700000000000000000e+01 6.946558553365626831e-02 -7.183304027968046013e-03 6.983600382533308726e-02 -1.030418552186962433e-01
3.800000000000000000e+01 2.148373223616263372e-01 2.817605440994320753e-01 3.543219994450265142e-01 9.193545284538953144e-01
3.900000000000000000e+01 -3.346010311784390345e-01 1.524174652222621829e-01 3.676804778206945179e-01 2.714157777149200701e+00
4.000000000000000000e+01 3.901109368597462934e-01 -4.214973153485066654e-02 3.923813743363067652e-01 -1.076279863576075635e-01
4.100000000000000000e+01 6.352351465157612953e-03 -2.607921374124687330e-02 2.684171675766157047e-02 -1.331869931718553834e+00
4.200000000000000000e+01 -2.108865698940332600e-01 5.341731871202805293e-02 2.175466738427718483e-01 2.893511639339732877e+00
4.300000000000000000e+01 -1.119841161987953776e-01 -1.923919034535384043e-01 2.226097185553697622e-01 -2.097922079358213399e+00
4.400000000000000000e+01 -3.437650176252567968e-01 9.895509222651185932e-02 3.577240523370641134e-01 2.861313317788920951e+00
4.500000000000000000e+01 -1.984714673664972895e-01 2.074617327258609645e-01 2.871085054543441872e-01 2.334050955512303904e+00
4.600000000000000000e+01 1.725402868821721003e-01 -1.909530643291126317e-01 2.573581616620317924e-01 -8.360099639253800730e-01
4.700000000000000000e+01 4.616546338637941838e-02 3.455993452486212925e-01 3.486691231611351860e-01 1.438001583319924892e+00
4.800000000000000000e+01 -1.523606335880048346e-01 -4.510354843549769788e-01 4.760743332870056022e-01 -1.896563165540731344e+00
4.900000000000000000e+01 -4.340627666418037101e-02 -4.224149793298206390e-01 4.246392817628393823e-01 -1.673194353709657856e+00
5.000000000000000000e+01 -4.357477688500877022e-02 -9.831999449202438734e-02 1.075433982050502252e-01 -1.987975520906582139e+00
5.100000000000000000e+01 3.144416887869663779e-03 -3.008452488944051706e-01 3.008616810760408322e-01 -1.560344766050614895e+00
5.200000000000000000e+01 2.929245829489824926e-01 3.311964342382787141e-01 4.421491709231012424e-01 8.466426770301003213e-01
5.300000000000000000e+01 -1.028106291372237469e-01 -2.463007561614143082e-01 2.668971486345933508e-01 -1.966228364369184023e+00
5.400000000000000000e+01 2.546179272885591705e-02 2.423522526499599095e-01 2.436861039400425588e-01 1.466119242039338522e+00
5.500000000000000000e+01 -1.057583460453768720e-01 -1.671417443483046439e-01 1.977907744614184615e-01 -2.134946742223021499e+00
5.600000000000000000e+01 1.868197952174800724e-01 -4.676201944625411056e-01 5.035576254554049447e-01 -1.190710864863708807e+00
5.700000000000000000e+01 -7.996381211586019166e-02 2.986806941472755494e-02 8.535990170251822606e-02 2.784120298698053109e+00
5.800000000000000000e+01 -2.512051742769432217e-01 3.618966731821660066e-02 2.537986044171886557e-01 2.998512903485683001e+00
5.900000000000000000e+01 -3.378088189918030393e-01 -2.010933372486609083e-01 3.931327110206430109e-01 -2.604645497704548340e+00
6.000000000000000000e+01 -1.269099724574386245e-01 -2.880146200143349766e-01 3.147357025365085659e-01 -1.985836971804675555e+00
6.100000000000000000e+01 -2.735127383912588916e-01 2.840029499167388005e-01 3.942929033392496563e-01 2.337380716844061013e+00
6.200000000000000000e+01 1.314459955990864015e-02 3.651606438758501216e-01 3.653971487757064485e-01 1.534815103884741738e+00
